id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Kings,Ashen Verse,hip-hop,confident,0.74,95,0.55,0.85,0.08
12,Moonlit Sonata Redux,Clara Fields,classical,melancholy,0.30,68,0.28,0.22,0.95
13,Neon Overdrive,Pixel Surge,edm,euphoric,0.95,128,0.88,0.90,0.03
14,Island Time,Palm & Tide,reggae,laidback,0.55,92,0.79,0.74,0.40
15,Dust and Diesel,Copper Canyon,country,nostalgic,0.58,104,0.62,0.61,0.55
16,Iron Verdict,Blacksmith Row,metal,aggressive,0.97,168,0.35,0.52,0.02
17,Velvet Groove,The Slick Six,funk,playful,0.80,116,0.90,0.91,0.12
18,Slow Burn Letters,Amara Reign,r&b,romantic,0.48,72,0.66,0.68,0.44
19,A Boy,G-Dragon,k-pop,dreamy,0.52,96,0.58,0.64,0.38
20,Red Red,CORTIS,k-pop,energetic,0.86,126,0.74,0.83,0.09
